"Top Level (Level 1) ID Number","Second Level ID Number","Third Level ID Number","Combination ID (ASSET_CATEGORY_APPLICABLE_TERM ID)","Canvas 1","Canvas 2","Canvas 3","Canvas 4"
100005,"200049",,"C00054","urn:tva:metadata:cs:ContentCS:2010:3.1.1.17",,,
100005,"200115",,"C00124","urn:tva:metadata:cs:ContentCS:2010:3.1.3.2.1","urn:tva:metadata:cs:IntendedAudienceCS:2010:4.3.3",,
100005,"200051",,"C00056","urn:tva:metadata:cs:ContentCS:2010:3.1.7.9",,,
100005,"200052",,"C00057","urn:tva:metadata:cs:ContentCS:2010:3.8.3",,,
100005,"200054",,"C00059","urn:tva:metadata:cs:ContentCS:2010:3.1.6.7",,,
100005,"200055",,"C00060","urn:tva:metadata:cs:ContentCS:2010:3.1.5.3",,,
100005,"200056",,"C00061","urn:tva:metadata:cs:ContentCS:2010:3.8.4",,,
100005,"200056","300050","C00188","urn:tva:metadata:cs:ContentCS:2010:3.8.4.3",,,
100005,"200056","300051","C00189","urn:tva:metadata:cs:ContentCS:2010:3.8.4.2",,"urn:tva:metadata:cs:ContentCS:2010:3.8.4.4",
100005,"200057",,"C00062","urn:tva:metadata:cs:ContentCS:2010:3.1.3.4",,,
100005,"200058",,"C00063","urn:tva:metadata:cs:ContentCS:2010:3.1.3.1",,,
100005,"200059",,"C00064","urn:tva:metadata:cs:ContentCS:2010:3.1.6",,,
100005,"200059","300052","C00190","urn:tva:metadata:cs:ContentCS:2010:3.1.6.2","urn:tva:metadata:cs:ContentCS:2010:3.1.6.4",,
100005,"200059","300053","C00191","urn:tva:metadata:cs:ContentCS:2010:3.1.6.8","urn:tva:metadata:cs:ContentCS:2010:3.8.2",,
100005,"200060",,"C00065","urn:tva:metadata:cs:ContentCS:2010:3.8.9",,,
100006,,,"C00066","urn:tva:metadata:cs:ContentCS:2010:3.6",,,
100006,"200061",,"C00067",,,,
100006,"200062",,"C00068","urn:tva:metadata:cs:ContentCS:2010:3.6.4.5",,,
100006,"200062","300007","C00127","urn:tva:metadata:cs:ContentCS:2010:3.6.4.5",,,
100006,"200063",,"C00069","urn:tva:metadata:cs:ContentCS:2010:3.6.1",,,
100006,"200063","300028","C00187","urn:tva:metadata:cs:ContentCS:2010:3.6.1.11",,,
100006,"200063","300029","C00153","urn:tva:metadata:cs:ContentCS:2010:3.6.1.14",,,
100006,"200063","300030","C00154","urn:tva:metadata:cs:ContentCS:2010:3.6.1.1",,,
100006,"200063","300008","C00128","urn:tva:metadata:cs:ContentCS:2010:3.6.1.19",,,
100006,"200063","300031","C00155","urn:tva:metadata:cs:ContentCS:2010:3.6.1.9",,,
100006,"200063","300032","C00156","urn:tva:metadata:cs:ContentCS:2010:3.6.1.16",,,
100006,"200110",,"C00129","urn:tva:metadata:cs:ContentCS:2010:3.6.6",,,
100006,"200110","300009","C00130","urn:tva:metadata:cs:ContentCS:2010:3.6.6",,,
100006,"200064",,"C00070","urn:tva:metadata:cs:ContentCS:2010:3.6.8",,,
100006,"200064","300022","C00173","urn:tva:metadata:cs:ContentCS:2010:3.6.8.11",,,
100006,"200064","300010","C00131","urn:tva:metadata:cs:ContentCS:2010:3.6.8",,,
100006,"200064","300011","C00132","urn:tva:metadata:cs:ContentCS:2010:3.6.8.16.7",,,
